Country,Population,GDP,Literacy,Phones,Birthrate,Deathrate,Agriculture,Industry,Service,Latitude,Longitude
Taiwan,23036087,23400,96.1,591,12.56,6.48,0.02,0.26,0.72,23.69781,120.960515
Tajikistan,7320815,1000,99.4,33.5,32.65,8.25,0.23,0.29,0.48,38.861034,71.276093
Tanzania,37445392,600,78.2,4,37.71,16.39,0.43,0.17,0.4,-6.369028,34.888822
Thailand,64631595,7400,92.6,108.9,13.87,7.04,0.1,0.44,0.46,15.870032,100.992541
Togo,5548702,1500,60.9,10.6,37.01,9.83,0.4,0.2,0.4,8.619543,0.824782
Tonga,114689,2200,98.5,97.7,25.37,5.28,0.23,0.27,0.5,-21.178986,-175.198242
Trinidad & Tobago,1065842,9500,98.6,303.5,12.9,10.57,0.01,0.57,0.42,10.691803,-61.222503
Tunisia,10175014,6900,74.2,123.6,15.52,5.13,0.13,0.32,0.55,33.886917,9.537499
Turkey,70413958,6700,86.5,269.5,16.62,5.97,0.12,0.3,0.59,38.963745,35.243322
Turkmenistan,5042920,5800,98,74.6,27.61,8.6,0.21,0.38,0.41,38.969719,59.556278
Turks & Caicos Is,21152,9600,98,269.5,21.84,4.21,,,,21.694025,-71.797928
Tuvalu,11810,1100,,59.3,22.18,7.11,0.17,0.27,0.56,-7.109535,177.64933
Uganda,28195754,1400,69.9,3.6,47.35,12.24,0.31,0.22,0.47,1.373333,32.290275
Ukraine,46710816,5400,99.7,259.9,8.82,14.39,0.19,0.45,0.36,48.379433,31.1655799
United Arab Emirates,2602713,23200,77.9,475.3,18.96,4.4,0.04,0.59,0.38,23.424076,53.847818
United Kingdom,60609153,27700,99,543.5,10.71,10.13,0.01,0.24,0.76,55.378051,-3.435973
United States,298444215,37800,97,898,14.14,8.26,0.01,0.2,0.79,37.09024,-95.712891
Uruguay,3431932,12800,98,291.4,13.91,9.05,0.09,0.31,0.6,-32.522779,-55.765835
Uzbekistan,27307134,1700,99.3,62.9,26.36,7.84,0.34,0.23,0.43,41.377491,64.585262
Vanuatu,208869,2900,53,32.6,22.72,7.82,0.26,0.12,0.62,-15.376706,166.959158
Venezuela,25730435,4800,93.4,140.1,18.71,4.92,0.04,0.42,0.54,6.42375,-66.58973
Vietnam,84402966,2500,90.3,187.7,16.86,6.22,0.21,0.41,0.38,14.058324,108.277199
Virgin Islands,108605,17200,,652.8,13.96,6.43,0.01,0.19,0.8,18.335765,-64.896335
Wallis and Futuna,16025,3700,50,118.6,,,,,,-14.2938,-178.1165
West Bank,2460492,800,,145.2,31.67,3.92,0.09,0.28,0.63,31.9465703,35.3027226
Western Sahara,273008,,,,,,,,0.4,24.215527,-12.885834
Yemen,21456188,800,50.2,37.2,42.89,8.3,0.14,0.47,0.39,15.552727,48.516388
Zambia,11502010,800,80.6,8.2,41,19.93,0.22,0.29,0.49,-13.133897,27.849332
Zimbabwe,12236805,1900,90.7,26.8,28.01,21.84,0.18,0.24,0.58,-19.015438,29.154857
